1,3,6,4,28,25284.00,0.09,0.06,N,O,1996-04-21,1996-03-30,1996-05-16,NONE                     ,AIR       ,lites. fluffily even de,t
1,16,3,6,32,29312.32,0.07,0.02,N,O,1996-01-30,1996-02-07,1996-02-03,DELIVER IN PERSON        ,MAIL      ,arefully slyly ex,t
1,25,8,5,24,22200.48,0.10,0.04,N,O,1996-03-30,1996-03-14,1996-04-01,NONE                     ,FOB       , pending foxes. slyly re,t
1,64,5,3,8,7712.48,0.10,0.02,N,O,1996-01-29,1996-03-05,1996-01-31,TAKE BACK RETURN         ,REG AIR   ,"riously. regular, express dep",t
1,68,9,2,36,34850.16,0.09,0.06,N,O,1996-04-12,1996-02-28,1996-04-20,TAKE BACK RETURN         ,MAIL      ,ly final dependencies: slyly bold ,t
1,156,4,1,17,17954.55,0.04,0.02,N,O,1996-03-13,1996-02-12,1996-03-22,DELIVER IN PERSON        ,TRUCK     ,egular courts above the,t
2,107,2,1,38,38269.80,0.00,0.05,N,O,1997-01-28,1997-01-14,1997-02-02,TAKE BACK RETURN         ,RAIL      ,ven requests. deposits breach a,f
3,5,2,1,45,40725.00,0.06,0.00,R,F,1994-02-02,1994-01-04,1994-02-23,NONE                     ,AIR       ,ongside of the furiously brave acco,f
3,20,10,2,49,45080.98,0.10,0.00,R,F,1993-11-09,1993-12-20,1993-11-24,TAKE BACK RETURN         ,RAIL      , unusual accounts. eve,f
3,30,5,4,2,1860.06,0.01,0.06,A,F,1993-12-04,1994-01-07,1994-01-01,NONE                     ,TRUCK     ,y. fluffily pending d,f
3,63,8,6,26,25039.56,0.10,0.02,A,F,1993-10-29,1993-12-18,1993-11-04,TAKE BACK RETURN         ,RAIL      ,ges sleep after the caref,f
3,129,8,3,27,27786.24,0.06,0.07,A,F,1994-01-16,1993-11-22,1994-01-23,DELIVER IN PERSON        ,SHIP      ,nal foxes wake. ,f
3,184,5,5,28,30357.04,0.04,0.00,R,F,1993-12-14,1994-01-10,1994-01-01,TAKE BACK RETURN         ,FOB       ,ages nag slyly pending,f
4,89,10,1,30,29672.40,0.03,0.08,N,O,1996-01-10,1995-12-14,1996-01-18,DELIVER IN PERSON        ,REG AIR   ,- quickly regular packages sleep. idly,f
5,38,4,3,50,46901.50,0.08,0.03,A,F,1994-08-08,1994-10-13,1994-08-26,DELIVER IN PERSON        ,AIR       ,eodolites. fluffily unusual,t
5,109,10,1,15,15136.50,0.02,0.04,R,F,1994-10-31,1994-08-31,1994-11-20,NONE                     ,AIR       ,ts wake furiously ,t
5,124,5,2,26,26627.12,0.07,0.08,R,F,1994-10-16,1994-09-25,1994-10-19,NONE                     ,FOB       ,sts use slyly quickly special instruc,t
6,140,6,1,37,38485.18,0.08,0.03,A,F,1992-04-27,1992-05-15,1992-05-02,TAKE BACK RETURN         ,TRUCK     ,p furiously special foxes,t
7,80,10,6,35,34302.80,0.06,0.03,N,O,1996-01-16,1996-02-23,1996-01-22,TAKE BACK RETURN         ,FOB       ,jole. excuses wake carefully alongside of ,t
7,95,8,3,46,45774.14,0.10,0.07,N,O,1996-01-15,1996-03-27,1996-02-03,COLLECT COD              ,MAIL      , unusual reques,t
7,146,3,2,9,9415.26,0.08,0.08,N,O,1996-02-01,1996-03-02,1996-02-19,TAKE BACK RETURN         ,SHIP      ,es. instructions,t
