1,214,465,4,28,31197.88,0.09,0.06,N,O,1996-04-21,1996-03-30,1996-05-16,NONE                     ,AIR       ,lites. fluffily even de
1,1564,67,6,32,46897.92,0.07,0.02,N,O,1996-01-30,1996-02-07,1996-02-03,DELIVER IN PERSON        ,MAIL      ,arefully slyly ex
1,2403,160,5,24,31329.60,0.10,0.04,N,O,1996-03-30,1996-03-14,1996-04-01,NONE                     ,FOB       , pending foxes. slyly re
1,6370,371,3,8,10210.96,0.10,0.02,N,O,1996-01-29,1996-03-05,1996-01-31,TAKE BACK RETURN         ,REG AIR   ,"riously. regular, express dep"
1,6731,732,2,36,58958.28,0.09,0.06,N,O,1996-04-12,1996-02-28,1996-04-20,TAKE BACK RETURN         ,MAIL      ,ly final dependencies: slyly bold 
1,15519,785,1,17,24386.67,0.04,0.02,N,O,1996-03-13,1996-02-12,1996-03-22,DELIVER IN PERSON        ,TRUCK     ,egular courts above the
2,10617,138,1,38,58049.18,0.00,0.05,N,O,1997-01-28,1997-01-14,1997-02-02,TAKE BACK RETURN         ,RAIL      ,ven requests. deposits breach a
3,430,181,1,45,59869.35,0.06,0.00,R,F,1994-02-02,1994-01-04,1994-02-23,NONE                     ,AIR       ,ongside of the furiously brave acco
3,1904,658,2,49,88489.10,0.10,0.00,R,F,1993-11-09,1993-12-20,1993-11-24,TAKE BACK RETURN         ,RAIL      , unusual accounts. eve
3,2938,191,4,2,3681.86,0.01,0.06,A,F,1993-12-04,1994-01-07,1994-01-01,NONE                     ,TRUCK     ,y. fluffily pending d
3,6215,984,6,26,29151.46,0.10,0.02,A,F,1993-10-29,1993-12-18,1993-11-04,TAKE BACK RETURN         ,RAIL      ,ges sleep after the caref
3,12845,370,3,27,47461.68,0.06,0.07,A,F,1994-01-16,1993-11-22,1994-01-23,DELIVER IN PERSON        ,SHIP      ,nal foxes wake. 
3,18310,115,5,28,34392.68,0.04,0.00,R,F,1993-12-14,1994-01-10,1994-01-01,TAKE BACK RETURN         ,FOB       ,ages nag slyly pending
4,8804,579,1,30,51384.00,0.03,0.08,N,O,1996-01-10,1995-12-14,1996-01-18,DELIVER IN PERSON        ,REG AIR   ,- quickly regular packages sleep. idly
5,3754,8,3,50,82887.50,0.08,0.03,A,F,1994-08-08,1994-10-13,1994-08-26,DELIVER IN PERSON        ,AIR       ,eodolites. fluffily unusual
5,10857,858,1,15,26517.75,0.02,0.04,R,F,1994-10-31,1994-08-31,1994-11-20,NONE                     ,AIR       ,ts wake furiously 
5,12393,394,2,26,33940.14,0.07,0.08,R,F,1994-10-16,1994-09-25,1994-10-19,NONE                     ,FOB       ,sts use slyly quickly special instruc
6,13964,228,1,37,69484.52,0.08,0.03,A,F,1992-04-27,1992-05-15,1992-05-02,TAKE BACK RETURN         ,TRUCK     ,p furiously special foxes
7,7926,184,6,35,64187.20,0.06,0.03,N,O,1996-01-16,1996-02-23,1996-01-22,TAKE BACK RETURN         ,FOB       ,jole. excuses wake carefully alongside of 
7,9478,997,3,46,63823.62,0.10,0.07,N,O,1996-01-15,1996-03-27,1996-02-03,COLLECT COD              ,MAIL      , unusual reques
7,14525,790,2,9,12955.68,0.08,0.08,N,O,1996-02-01,1996-03-02,1996-02-19,TAKE BACK RETURN         ,SHIP      ,es. instructions
7,15190,986,5,38,41997.22,0.08,0.01,N,O,1996-02-11,1996-02-24,1996-02-18,DELIVER IN PERSON        ,TRUCK     ,ns haggle carefully ironic deposits. bl
7,15724,255,7,5,8198.60,0.04,0.02,N,O,1996-02-10,1996-03-26,1996-02-13,NONE                     ,FOB       ,ithely regula
7,16308,309,4,28,34280.40,0.03,0.04,N,O,1996-03-21,1996-04-08,1996-04-20,NONE                     ,FOB       ,. slyly special requests haggl
7,18206,11,1,12,13490.40,0.07,0.03,N,O,1996-05-07,1996-03-13,1996-06-03,TAKE BACK RETURN         ,FOB       ,ss pinto beans wake against th
32,275,776,4,4,4701.08,0.09,0.03,N,O,1995-08-04,1995-10-01,1995-09-03,NONE                     ,REG AIR   ,e slyly final pac
